model	simID	S	tree.length	PD	gamma	beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
etienne	32321	49	10	6.830918181	3.729198958	0.026207883	152	348	53.10289418	7.102040816	5.510204082	0.55602992	0.459620578	1.000794567	NA	1852.856217	1.342517501	1.940826019	1	0.289390266
etienne	32322	50	9.999999999	7.152213862	3.172194747	3.690230131	75	311	52.94331056	6.22	1.766938776	0.685918425	0.4873668	1.258870167	NA	1878.304654	0.756682701	4.602264757	1	0.285752483
etienne	32323	49	9.999999999	7.337515572	2.724855452	-0.624784637	183	369	56.34538667	7.530612245	7.587585034	0.613191014	0.551721743	1.105632417	NA	1843.983771	0.616170917	1.91588503	1	0.279051544
etienne	32331	167	10	19.39916897	3.353026472	-0.385186187	866	1752	199.9418568	10.49101796	7.781545343	0.597038787	0.498517529	1.086492176	NA	6448.216442	1.333566868	3.485099067	5	0.312634071
etienne	32332	176	10	20.4219429	3.212616583	0.598042339	751	1673	197.1192423	9.505681818	6.948538961	0.641493384	0.451911904	1.17534328	NA	6715.156568	0.699927622	2.610491243	1	0.312762994
etienne	32333	183	10	21.27534674	3.13931906	-0.202431614	752	1720	219.4520694	9.398907104	6.219119678	0.731942904	0.584794185	1.356188237	NA	6956.823961	-0.412067151	4.925645879	1	0.312538035
etienne	33321	30	10	5.001606348	3.357506904	-0.48619918	95	193	31.79005953	6.433333333	6.116091954	0.536621274	0.637585034	0.951107921	NA	1125.032288	1.050167168	1.703797202	1	0.262076548
etienne	33322	30	9.999999999	5.160560209	2.936875117	2.532302894	46	164	28.56548568	5.466666667	2.326436782	0.648015994	0.432051282	1.172099383	NA	1113.379796	1.669864267	3.547704672	1	0.256778086
etienne	33323	33	10	5.302756707	3.356979106	-0.402863184	88	206	35.44670073	6.242424242	3.626893939	0.558341837	0.521056548	0.997333643	NA	1232.866595	1.020572232	1.947945566	2	0.268107163
etienne	33331	70	10	8.167063072	3.882704721	0.176718467	209	515	77.88064376	7.357142857	4.870600414	0.576273357	0.547206698	1.056220668	NA	2667.898324	0.950767863	2.329285976	1	0.31212443
etienne	33332	71	10	8.465314554	3.522897402	-0.192995639	258	576	79.79176832	8.112676056	5.387122736	0.454994481	0.497206085	0.809039069	NA	2707.477299	2.531643123	6.697963535	13	0.309566978
etienne	33333	72	10	8.65865427	3.40776854	-0.203744894	262	586	82.13039819	8.138888889	5.473395931	0.404461395	0.540494426	0.705956898	NA	2772.302534	3.363537828	3.115551476	7	0.308537673
