model,experiment,parameterName,sign,explanationOfEffect
ca,tim,TimeOfPhyloTree,1,"the time step (relative to the overall simulation time) for which phylogenetic trees were generated. There are three possible relative time steps (early, intermediate, late in the simulation). The intermediate trees might have a higher number of species, but the later trees more likely to be in equilibrium."
ve,dis,gam,1,per mainland species colonisation rate
ve,mut,lac,1,per island lineage cladogenesis rate
ve,mut,laa,1,per island lineage anagenesis rate
xe,mut,v,1,per capita probability of point mutation speciation (changed variable name from 'nv' to 'v' which is what is used in parameter file)
xe,com,psi,1,"Strength of the Janzen-Connell effect; the larger the value is, the severe the species is suffered from its conspecific density"
xe,com,sig_phi,1,"variance of the phylogenetic relatedness effect distribution; the larger the value is, the remoter phylogenetically related species the phylogenetic relatedness effect can affect."
xe,dis,dispersal,1,"variance of the dispersal distribution; the larger the value is, the further the species can disperse."
xe,dis,spatial,1,"variance of the spatial effectiveness of the phylogenetic Janzen-Connell effect; the larger the value is, the futher the effect can affect."
fh.1,dis,dispersal,1,NA
fh.1,com,density,1,NA
fh.1,env,environment,1,NA
fh.1,mut,speciationRate,1,NA
fh.2,dis,dispersal,1,NA
fh.2,com,density,1,NA
fh.2,env,environment,1,NA
fh.2,mut,speciationRate,1,NA
fh.3,dis,dispersal,1,NA
fh.3,com,density,1,NA
fh.3,env,environment,1,NA
fh.3,mut,speciationRate,1,NA
gen.NULL,dis,dispersal_shape,-1,"shape of a Weibull distribution, the larger the value, the shorter is the tail of the dispersal function (NOTE: allways weibull here)"
gen.NULL,dis,dispersal_scale,1,scale of a Weiull distribution
gen.NULL,mut,divergence_threshold,1,cumulated genetic isolation of populations to triger a speciation event
gen.NULL,mut,mutation,-1,strength of population optimum temperature trait change
gen.NULL,env,niche_strength,1,"niche width, the bigger the value, the narrower the niche"
gen.TEMPSP,dis,dispersal_shape,-1,"shape of a Weibull distribution, the larger the value, the shorter is the tail of the dispersal function (NOTE: allways weibull here)"
gen.TEMPSP,dis,dispersal_scale,1,scale of a Weiull distribution
gen.TEMPSP,mut,divergence_threshold,1,cumulated genetic isolation of populations to triger a speciation event
gen.TEMPSP,mut,mutation,-1,strength of population optimum temperature trait change
gen.TEMPSP,env,niche_strength,1,"niche width, the bigger the value, the narrower the niche"
gen.TEMPSP,tim,divergence_temperature,-1,"rate of species divergence is temperature dependent, slope of divergence along temperature gradient"
gen.K,dis,dispersal_shape,-1,"shape of a Weibull distribution, the larger the value, the shorter is the tail of the dispersal function (NOTE: allways weibull here)"
gen.K,dis,dispersal_scale,1,scale of a Weiull distribution
gen.K,mut,divergence_threshold,1,cumulated genetic isolation of populations to triger a speciation event
gen.K,mut,mutation,-1,strength of population optimum temperature trait change
gen.K,env,niche_strength,1,"niche width, the bigger the value, the narrower the niche"
gen.K,com,abundance_scale_pwr,-1,strength of carrying capacity
