model	simID	S	tree
ve	2875	20	ve_2875.tre
ve	2887	20	ve_2887.tre
ve	2905	20	ve_2905.tre
ve	2954	20	ve_2954.tre
ve	2979	20	ve_2979.tre
ve	2998	20	ve_2998.tre
ve	3051	20	ve_3051.tre
ve	3059	20	ve_3059.tre
ve	3071	20	ve_3071.tre
ve	3081	20	ve_3081.tre
ve	3131	20	ve_3131.tre
ve	3141	20	ve_3141.tre
ca	581	21	ca_581.tre
ca	621	21	ca_621.tre
ca	1553	21	ca_1553.tre
ca	1554	21	ca_1554.tre
ca	1620	21	ca_1620.tre
ca	1729	21	ca_1729.tre
ca	1867	21	ca_1867.tre
ca	1890	21	ca_1890.tre
ca	2413	21	ca_2413.tre
ca	2418	21	ca_2418.tre
ca	2625	21	ca_2625.tre
ca	2824	21	ca_2824.tre
ca	3013	21	ca_3013.tre
fh	41	21	fh_41.tre
fh	44	21	fh_44.tre
fh	117	21	fh_117.tre
fh	150	21	fh_150.tre
fh	178	21	fh_178.tre
fh	267	21	fh_267.tre
fh	278	21	fh_278.tre
fh	290	21	fh_290.tre
fh	320	21	fh_320.tre
fh	360	21	fh_360.tre
fh	461	21	fh_461.tre
fh	530	21	fh_530.tre
fh	540	21	fh_540.tre
fh	666	21	fh_666.tre
fh	753	21	fh_753.tre
fh	854	21	fh_854.tre
fh	867	21	fh_867.tre
fh	872	21	fh_872.tre
fh	880	21	fh_880.tre
fh	940	21	fh_940.tre
fh	1046	21	fh_1046.tre
fh	1067	21	fh_1067.tre
fh	1110	21	fh_1110.tre
fh	1162	21	fh_1162.tre
fh	1200	21	fh_1200.tre
fh	1214	21	fh_1214.tre
fh	1287	21	fh_1287.tre
fh	1311	21	fh_1311.tre
fh	1330	21	fh_1330.tre
fh	1346	21	fh_1346.tre
fh	1377	21	fh_1377.tre
fh	1379	21	fh_1379.tre
fh	1461	21	fh_1461.tre
fh	1504	21	fh_1504.tre
fh	1624	21	fh_1624.tre
fh	1660	21	fh_1660.tre
fh	1731	21	fh_1731.tre
fh	1751	21	fh_1751.tre
fh	1752	21	fh_1752.tre
fh	1774	21	fh_1774.tre
fh	1800	21	fh_1800.tre
fh	1844	21	fh_1844.tre
fh	1855	21	fh_1855.tre
fh	1859	21	fh_1859.tre
fh	1864	21	fh_1864.tre
fh	1960	21	fh_1960.tre
fh	1961	21	fh_1961.tre
gen	111172	21	gen_111172.tre
gen	111190	21	gen_111190.tre
gen	1111123	21	gen_1111123.tre
gen	1111127	21	gen_1111127.tre
gen	1111129	21	gen_1111129.tre
gen	1111208	21	gen_1111208.tre
gen	1111360	21	gen_1111360.tre
gen	1111401	21	gen_1111401.tre
gen	1111445	21	gen_1111445.tre
gen	1111544	21	gen_1111544.tre
gen	1111558	21	gen_1111558.tre
gen	222211	21	gen_222211.tre
gen	222266	21	gen_222266.tre
gen	222272	21	gen_222272.tre
gen	2222129	21	gen_2222129.tre
gen	2222219	21	gen_2222219.tre
gen	2222381	21	gen_2222381.tre
gen	2222481	21	gen_2222481.tre
gen	2222492	21	gen_2222492.tre
gen	3333217	21	gen_3333217.tre
gen	3333458	21	gen_3333458.tre
hs	6898	21	hs_6898.tre
hs	6910	21	hs_6910.tre
hs	7907	21	hs_7907.tre
pontarp	1732	21	pontarp_1732.tre
pontarp	1994	21	pontarp_1994.tre
pontarp	2183	21	pontarp_2183.tre
pontarp	2473	21	pontarp_2473.tre
ve	8	21	ve_8.tre
ve	51	21	ve_51.tre
ve	74	21	ve_74.tre
ve	123	21	ve_123.tre
ve	133	21	ve_133.tre
ve	149	21	ve_149.tre
ve	284	21	ve_284.tre
ve	287	21	ve_287.tre
ve	291	21	ve_291.tre
ve	336	21	ve_336.tre
ve	339	21	ve_339.tre
ve	359	21	ve_359.tre
ve	370	21	ve_370.tre
ve	380	21	ve_380.tre
ve	399	21	ve_399.tre
ve	446	21	ve_446.tre
ve	452	21	ve_452.tre
ve	493	21	ve_493.tre
ve	507	21	ve_507.tre
ve	508	21	ve_508.tre
ve	511	21	ve_511.tre
ve	538	21	ve_538.tre
ve	555	21	ve_555.tre
ve	615	21	ve_615.tre
ve	633	21	ve_633.tre
ve	687	21	ve_687.tre
ve	720	21	ve_720.tre
ve	731	21	ve_731.tre
ve	732	21	ve_732.tre
ve	760	21	ve_760.tre
ve	773	21	ve_773.tre
ve	777	21	ve_777.tre
ve	781	21	ve_781.tre
ve	813	21	ve_813.tre
ve	853	21	ve_853.tre
ve	865	21	ve_865.tre
ve	877	21	ve_877.tre
ve	879	21	ve_879.tre
ve	894	21	ve_894.tre
ve	903	21	ve_903.tre
ve	944	21	ve_944.tre
ve	975	21	ve_975.tre
ve	981	21	ve_981.tre
ve	990	21	ve_990.tre
ve	1035	21	ve_1035.tre
ve	1074	21	ve_1074.tre
ve	1128	21	ve_1128.tre
ve	1154	21	ve_1154.tre
ve	1158	21	ve_1158.tre
ve	1235	21	ve_1235.tre
ve	1313	21	ve_1313.tre
ve	1322	21	ve_1322.tre
ve	1324	21	ve_1324.tre
ve	1375	21	ve_1375.tre
ve	1381	21	ve_1381.tre
ve	1382	21	ve_1382.tre
ve	1418	21	ve_1418.tre
ve	1436	21	ve_1436.tre
ve	1475	21	ve_1475.tre
ve	1493	21	ve_1493.tre
ve	1511	21	ve_1511.tre
ve	1593	21	ve_1593.tre
ve	1594	21	ve_1594.tre
ve	1606	21	ve_1606.tre
ve	1644	21	ve_1644.tre
ve	1663	21	ve_1663.tre
ve	1707	21	ve_1707.tre
ve	1716	21	ve_1716.tre
ve	1764	21	ve_1764.tre
ve	1766	21	ve_1766.tre
ve	1788	21	ve_1788.tre
ve	1796	21	ve_1796.tre
ve	1831	21	ve_1831.tre
ve	1838	21	ve_1838.tre
ve	1917	21	ve_1917.tre
ve	1925	21	ve_1925.tre
ve	1927	21	ve_1927.tre
ve	1937	21	ve_1937.tre
ve	1948	21	ve_1948.tre
ve	1952	21	ve_1952.tre
ve	1963	21	ve_1963.tre
ve	1972	21	ve_1972.tre
ve	1987	21	ve_1987.tre
ve	1998	21	ve_1998.tre
ve	2018	21	ve_2018.tre
ve	2025	21	ve_2025.tre
ve	2036	21	ve_2036.tre
ve	2041	21	ve_2041.tre
ve	2070	21	ve_2070.tre
ve	2088	21	ve_2088.tre
ve	2112	21	ve_2112.tre
ve	2113	21	ve_2113.tre
ve	2123	21	ve_2123.tre
ve	2165	21	ve_2165.tre
ve	2186	21	ve_2186.tre
ve	2239	21	ve_2239.tre
ve	2242	21	ve_2242.tre
ve	2273	21	ve_2273.tre
ve	2296	21	ve_2296.tre
ve	2302	21	ve_2302.tre
ve	2318	21	ve_2318.tre
ve	2323	21	ve_2323.tre
ve	2331	21	ve_2331.tre
ve	2365	21	ve_2365.tre
ve	2460	21	ve_2460.tre
ve	2467	21	ve_2467.tre
ve	2498	21	ve_2498.tre
ve	2508	21	ve_2508.tre
ve	2526	21	ve_2526.tre
ve	2566	21	ve_2566.tre
ve	2588	21	ve_2588.tre
ve	2594	21	ve_2594.tre
ve	2629	21	ve_2629.tre
ve	2632	21	ve_2632.tre
ve	2665	21	ve_2665.tre
ve	2756	21	ve_2756.tre
ve	2799	21	ve_2799.tre
ve	2811	21	ve_2811.tre
ve	2837	21	ve_2837.tre
ve	2854	21	ve_2854.tre
ve	2920	21	ve_2920.tre
ve	2928	21	ve_2928.tre
ve	2932	21	ve_2932.tre
ve	3019	21	ve_3019.tre
ve	3072	21	ve_3072.tre
ve	3107	21	ve_3107.tre
ve	3114	21	ve_3114.tre
ve	3170	21	ve_3170.tre
ve	3184	21	ve_3184.tre
ca	614	22	ca_614.tre
ca	862	22	ca_862.tre
ca	863	22	ca_863.tre
ca	900	22	ca_900.tre
ca	914	22	ca_914.tre
ca	1026	22	ca_1026.tre
ca	1036	22	ca_1036.tre
ca	1093	22	ca_1093.tre
ca	1130	22	ca_1130.tre
ca	1203	22	ca_1203.tre
ca	1297	22	ca_1297.tre
ca	1367	22	ca_1367.tre
ca	1403	22	ca_1403.tre
ca	1479	22	ca_1479.tre
ca	1491	22	ca_1491.tre
ca	1727	22	ca_1727.tre
ca	2059	22	ca_2059.tre
ca	2145	22	ca_2145.tre
ca	2204	22	ca_2204.tre
ca	2417	22	ca_2417.tre
ca	2699	22	ca_2699.tre
ca	2707	22	ca_2707.tre
fh	4	22	fh_4.tre
fh	10	22	fh_10.tre
fh	20	22	fh_20.tre
fh	21	22	fh_21.tre
fh	33	22	fh_33.tre
fh	40	22	fh_40.tre
fh	59	22	fh_59.tre
fh	118	22	fh_118.tre
fh	124	22	fh_124.tre
fh	139	22	fh_139.tre
fh	141	22	fh_141.tre
fh	181	22	fh_181.tre
fh	230	22	fh_230.tre
fh	240	22	fh_240.tre
fh	279	22	fh_279.tre
fh	366	22	fh_366.tre
fh	407	22	fh_407.tre
fh	470	22	fh_470.tre
fh	549	22	fh_549.tre
fh	565	22	fh_565.tre
fh	604	22	fh_604.tre
fh	645	22	fh_645.tre
fh	667	22	fh_667.tre
fh	716	22	fh_716.tre
fh	718	22	fh_718.tre
fh	886	22	fh_886.tre
fh	925	22	fh_925.tre
fh	958	22	fh_958.tre
fh	975	22	fh_975.tre
fh	1044	22	fh_1044.tre
fh	1057	22	fh_1057.tre
fh	1080	22	fh_1080.tre
fh	1125	22	fh_1125.tre
fh	1186	22	fh_1186.tre
fh	1205	22	fh_1205.tre
fh	1300	22	fh_1300.tre
fh	1326	22	fh_1326.tre
fh	1359	22	fh_1359.tre
fh	1434	22	fh_1434.tre
fh	1501	22	fh_1501.tre
fh	1538	22	fh_1538.tre
fh	1549	22	fh_1549.tre
fh	1586	22	fh_1586.tre
fh	1621	22	fh_1621.tre
fh	1793	22	fh_1793.tre
fh	1817	22	fh_1817.tre
fh	1912	22	fh_1912.tre
fh	1982	22	fh_1982.tre
gen	1111130	22	gen_1111130.tre
gen	1111191	22	gen_1111191.tre
gen	1111290	22	gen_1111290.tre
gen	1111354	22	gen_1111354.tre
gen	2222347	22	gen_2222347.tre
gen	2222348	22	gen_2222348.tre
gen	2222391	22	gen_2222391.tre
gen	2222446	22	gen_2222446.tre
gen	333321	22	gen_333321.tre
gen	3333119	22	gen_3333119.tre
gen	3333411	22	gen_3333411.tre
gen	3333536	22	gen_3333536.tre
hs	6691	22	hs_6691.tre
hs	6906	22	hs_6906.tre
hs	6977	22	hs_6977.tre
hs	7706	22	hs_7706.tre
hs	7943	22	hs_7943.tre
hs	8364	22	hs_8364.tre
pontarp	123	22	pontarp_123.tre
pontarp	342	22	pontarp_342.tre
pontarp	2874	22	pontarp_2874.tre
ve	4	22	ve_4.tre
ve	33	22	ve_33.tre
ve	76	22	ve_76.tre
ve	106	22	ve_106.tre
ve	138	22	ve_138.tre
ve	144	22	ve_144.tre
ve	160	22	ve_160.tre
ve	198	22	ve_198.tre
ve	213	22	ve_213.tre
ve	232	22	ve_232.tre
ve	237	22	ve_237.tre
ve	252	22	ve_252.tre
ve	390	22	ve_390.tre
ve	430	22	ve_430.tre
ve	447	22	ve_447.tre
ve	490	22	ve_490.tre
ve	495	22	ve_495.tre
ve	534	22	ve_534.tre
ve	541	22	ve_541.tre
ve	568	22	ve_568.tre
ve	574	22	ve_574.tre
ve	625	22	ve_625.tre
ve	629	22	ve_629.tre
ve	637	22	ve_637.tre
ve	649	22	ve_649.tre
ve	654	22	ve_654.tre
ve	670	22	ve_670.tre
ve	716	22	ve_716.tre
ve	810	22	ve_810.tre
ve	834	22	ve_834.tre
ve	854	22	ve_854.tre
ve	923	22	ve_923.tre
ve	956	22	ve_956.tre
ve	986	22	ve_986.tre
ve	987	22	ve_987.tre
ve	1104	22	ve_1104.tre
ve	1116	22	ve_1116.tre
ve	1124	22	ve_1124.tre
ve	1139	22	ve_1139.tre
ve	1174	22	ve_1174.tre
ve	1178	22	ve_1178.tre
ve	1270	22	ve_1270.tre
ve	1291	22	ve_1291.tre
ve	1425	22	ve_1425.tre
ve	1521	22	ve_1521.tre
ve	1538	22	ve_1538.tre
ve	1543	22	ve_1543.tre
ve	1568	22	ve_1568.tre
ve	1570	22	ve_1570.tre
ve	1574	22	ve_1574.tre
ve	1603	22	ve_1603.tre
ve	1621	22	ve_1621.tre
ve	1634	22	ve_1634.tre
ve	1665	22	ve_1665.tre
ve	1696	22	ve_1696.tre
ve	1699	22	ve_1699.tre
ve	1700	22	ve_1700.tre
ve	1731	22	ve_1731.tre
ve	1795	22	ve_1795.tre
ve	1800	22	ve_1800.tre
ve	1806	22	ve_1806.tre
ve	1813	22	ve_1813.tre
ve	1884	22	ve_1884.tre
ve	1912	22	ve_1912.tre
ve	1971	22	ve_1971.tre
ve	1978	22	ve_1978.tre
ve	2015	22	ve_2015.tre
ve	2039	22	ve_2039.tre
ve	2049	22	ve_2049.tre
ve	2055	22	ve_2055.tre
ve	2063	22	ve_2063.tre
ve	2103	22	ve_2103.tre
ve	2130	22	ve_2130.tre
ve	2143	22	ve_2143.tre
ve	2144	22	ve_2144.tre
ve	2145	22	ve_2145.tre
ve	2147	22	ve_2147.tre
ve	2196	22	ve_2196.tre
ve	2221	22	ve_2221.tre
ve	2254	22	ve_2254.tre
ve	2284	22	ve_2284.tre
ve	2299	22	ve_2299.tre
ve	2370	22	ve_2370.tre
ve	2377	22	ve_2377.tre
ve	2466	22	ve_2466.tre
ve	2486	22	ve_2486.tre
ve	2565	22	ve_2565.tre
ve	2578	22	ve_2578.tre
ve	2591	22	ve_2591.tre
ve	2610	22	ve_2610.tre
ve	2655	22	ve_2655.tre
ve	2670	22	ve_2670.tre
ve	2690	22	ve_2690.tre
ve	2691	22	ve_2691.tre
ve	2744	22	ve_2744.tre
ve	2773	22	ve_2773.tre
ve	2776	22	ve_2776.tre
ve	2808	22	ve_2808.tre
ve	2897	22	ve_2897.tre
ve	2914	22	ve_2914.tre
ve	2923	22	ve_2923.tre
ve	2999	22	ve_2999.tre
ve	3000	22	ve_3000.tre
ve	3021	22	ve_3021.tre
ve	3031	22	ve_3031.tre
ve	3044	22	ve_3044.tre
ve	3047	22	ve_3047.tre
ve	3091	22	ve_3091.tre
ve	3094	22	ve_3094.tre
ve	3130	22	ve_3130.tre
ve	3152	22	ve_3152.tre
ca	562	23	ca_562.tre
ca	620	23	ca_620.tre
ca	1111	23	ca_1111.tre
ca	1142	23	ca_1142.tre
ca	1175	23	ca_1175.tre
ca	1368	23	ca_1368.tre
ca	1542	23	ca_1542.tre
ca	1633	23	ca_1633.tre
ca	1728	23	ca_1728.tre
ca	1765	23	ca_1765.tre
ca	1906	23	ca_1906.tre
ca	1971	23	ca_1971.tre
ca	2019	23	ca_2019.tre
ca	2029	23	ca_2029.tre
ca	2040	23	ca_2040.tre
ca	2053	23	ca_2053.tre
ca	2092	23	ca_2092.tre
ca	2144	23	ca_2144.tre
ca	2155	23	ca_2155.tre
ca	2226	23	ca_2226.tre
ca	2265	23	ca_2265.tre
ca	2298	23	ca_2298.tre
ca	2384	23	ca_2384.tre
ca	2385	23	ca_2385.tre
ca	2744	23	ca_2744.tre
ca	2761	23	ca_2761.tre
ca	2814	23	ca_2814.tre
ca	3085	23	ca_3085.tre
fh	34	23	fh_34.tre
fh	52	23	fh_52.tre
fh	86	23	fh_86.tre
fh	104	23	fh_104.tre
fh	132	23	fh_132.tre
fh	144	23	fh_144.tre
fh	194	23	fh_194.tre
fh	212	23	fh_212.tre
fh	241	23	fh_241.tre
fh	244	23	fh_244.tre
fh	296	23	fh_296.tre
fh	308	23	fh_308.tre
fh	325	23	fh_325.tre
fh	353	23	fh_353.tre
fh	371	23	fh_371.tre
fh	386	23	fh_386.tre
fh	391	23	fh_391.tre
fh	420	23	fh_420.tre
fh	422	23	fh_422.tre
fh	451	23	fh_451.tre
fh	501	23	fh_501.tre
fh	537	23	fh_537.tre
fh	568	23	fh_568.tre
fh	576	23	fh_576.tre
fh	609	23	fh_609.tre
fh	612	23	fh_612.tre
fh	680	23	fh_680.tre
fh	688	23	fh_688.tre
fh	724	23	fh_724.tre
fh	808	23	fh_808.tre
fh	849	23	fh_849.tre
fh	967	23	fh_967.tre
fh	989	23	fh_989.tre
fh	997	23	fh_997.tre
fh	1031	23	fh_1031.tre
fh	1058	23	fh_1058.tre
fh	1109	23	fh_1109.tre
fh	1121	23	fh_1121.tre
fh	1170	23	fh_1170.tre
fh	1174	23	fh_1174.tre
fh	1192	23	fh_1192.tre
fh	1208	23	fh_1208.tre
fh	1262	23	fh_1262.tre
fh	1282	23	fh_1282.tre
fh	1291	23	fh_1291.tre
fh	1295	23	fh_1295.tre
fh	1427	23	fh_1427.tre
fh	1438	23	fh_1438.tre
fh	1447	23	fh_1447.tre
fh	1480	23	fh_1480.tre
fh	1516	23	fh_1516.tre
fh	1607	23	fh_1607.tre
fh	1628	23	fh_1628.tre
fh	1682	23	fh_1682.tre
fh	1729	23	fh_1729.tre
fh	1788	23	fh_1788.tre
fh	1857	23	fh_1857.tre
fh	1966	23	fh_1966.tre
gen	1111212	23	gen_1111212.tre
gen	1111289	23	gen_1111289.tre
gen	1111347	23	gen_1111347.tre
gen	1111348	23	gen_1111348.tre
gen	1111398	23	gen_1111398.tre
gen	1111436	23	gen_1111436.tre
gen	1111466	23	gen_1111466.tre
gen	222276	23	gen_222276.tre
gen	2222109	23	gen_2222109.tre
gen	2222221	23	gen_2222221.tre
gen	2222228	23	gen_2222228.tre
gen	2222523	23	gen_2222523.tre
gen	3333333	23	gen_3333333.tre
gen	3333467	23	gen_3333467.tre
hs	6786	23	hs_6786.tre
hs	6847	23	hs_6847.tre
hs	7084	23	hs_7084.tre
hs	7277	23	hs_7277.tre
hs	7460	23	hs_7460.tre
hs	7976	23	hs_7976.tre
hs	8024	23	hs_8024.tre
pontarp	94	23	pontarp_94.tre
pontarp	1813	23	pontarp_1813.tre
pontarp	2572	23	pontarp_2572.tre
pontarp	2594	23	pontarp_2594.tre
ve	52	23	ve_52.tre
ve	164	23	ve_164.tre
ve	203	23	ve_203.tre
ve	215	23	ve_215.tre
ve	241	23	ve_241.tre
ve	309	23	ve_309.tre
ve	485	23	ve_485.tre
ve	553	23	ve_553.tre
ve	621	23	ve_621.tre
ve	645	23	ve_645.tre
ve	722	23	ve_722.tre
ve	739	23	ve_739.tre
ve	757	23	ve_757.tre
ve	758	23	ve_758.tre
ve	782	23	ve_782.tre
ve	832	23	ve_832.tre
ve	845	23	ve_845.tre
ve	847	23	ve_847.tre
ve	875	23	ve_875.tre
ve	892	23	ve_892.tre
ve	896	23	ve_896.tre
ve	1020	23	ve_1020.tre
ve	1025	23	ve_1025.tre
ve	1086	23	ve_1086.tre
ve	1099	23	ve_1099.tre
ve	1108	23	ve_1108.tre
ve	1112	23	ve_1112.tre
ve	1125	23	ve_1125.tre
ve	1194	23	ve_1194.tre
ve	1271	23	ve_1271.tre
ve	1287	23	ve_1287.tre
ve	1297	23	ve_1297.tre
ve	1304	23	ve_1304.tre
ve	1352	23	ve_1352.tre
ve	1378	23	ve_1378.tre
ve	1406	23	ve_1406.tre
ve	1440	23	ve_1440.tre
ve	1459	23	ve_1459.tre
ve	1479	23	ve_1479.tre
ve	1534	23	ve_1534.tre
ve	1557	23	ve_1557.tre
ve	1584	23	ve_1584.tre
ve	1596	23	ve_1596.tre
ve	1605	23	ve_1605.tre
ve	1616	23	ve_1616.tre
ve	1640	23	ve_1640.tre
ve	1689	23	ve_1689.tre
ve	1720	23	ve_1720.tre
ve	1807	23	ve_1807.tre
ve	1809	23	ve_1809.tre
ve	1865	23	ve_1865.tre
ve	1886	23	ve_1886.tre
ve	1891	23	ve_1891.tre
ve	1930	23	ve_1930.tre
ve	1947	23	ve_1947.tre
ve	1986	23	ve_1986.tre
ve	2011	23	ve_2011.tre
ve	2038	23	ve_2038.tre
ve	2051	23	ve_2051.tre
ve	2072	23	ve_2072.tre
ve	2076	23	ve_2076.tre
ve	2097	23	ve_2097.tre
ve	2125	23	ve_2125.tre
ve	2138	23	ve_2138.tre
ve	2153	23	ve_2153.tre
ve	2191	23	ve_2191.tre
ve	2218	23	ve_2218.tre
ve	2263	23	ve_2263.tre
ve	2286	23	ve_2286.tre
ve	2321	23	ve_2321.tre
ve	2373	23	ve_2373.tre
ve	2405	23	ve_2405.tre
ve	2411	23	ve_2411.tre
ve	2425	23	ve_2425.tre
ve	2433	23	ve_2433.tre
ve	2457	23	ve_2457.tre
ve	2517	23	ve_2517.tre
ve	2559	23	ve_2559.tre
ve	2563	23	ve_2563.tre
ve	2685	23	ve_2685.tre
ve	2689	23	ve_2689.tre
ve	2753	23	ve_2753.tre
ve	2809	23	ve_2809.tre
ve	2835	23	ve_2835.tre
ve	2851	23	ve_2851.tre
ve	2902	23	ve_2902.tre
ve	2917	23	ve_2917.tre
ve	2950	23	ve_2950.tre
ve	2963	23	ve_2963.tre
ve	2990	23	ve_2990.tre
ve	3026	23	ve_3026.tre
ve	3036	23	ve_3036.tre
ve	3064	23	ve_3064.tre
ve	3082	23	ve_3082.tre
ve	3090	23	ve_3090.tre
ve	3144	23	ve_3144.tre
ve	3168	23	ve_3168.tre
ca	563	24	ca_563.tre
ca	720	24	ca_720.tre
ca	855	24	ca_855.tre
ca	936	24	ca_936.tre
ca	1100	24	ca_1100.tre
ca	1141	24	ca_1141.tre
ca	1167	24	ca_1167.tre
ca	1174	24	ca_1174.tre
ca	1183	24	ca_1183.tre
ca	1202	24	ca_1202.tre
ca	1233	24	ca_1233.tre
