model,simID,reg.of.origin,w,alpha,beta,sigma_E,carry.cap,energy.gradient,max.K,num.of.bins,max.time,max.richness,replicate,disturb_frequency,temperate_disturb_intensity,tropical_disturb_intensity,specn.gradient,specn.factor,gamma
hs,6580,tropical,10.60617997,8.90E-06,8.58E-06,9.483795377,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6581,tropical,5.346594848,2.47E-07,4.89E-06,5.653411855,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6582,tropical,8.125146787,6.25E-05,6.64E-06,10.1576779,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6583,tropical,4.999943689,3.86E-06,0.000156236,10.16557738,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6584,tropical,4.253521519,1.38E-08,1.46E-07,9.198545838,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6585,tropical,8.57087148,2.43E-06,0.000302666,6.669011576,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6586,tropical,3.026922551,4.58E-07,0.001196247,7.154771612,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6587,tropical,8.111212225,2.03E-08,3.44E-05,8.948002899,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6588,tropical,2.21691921,1.29E-06,3.66E-07,5.396965485,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6589,tropical,3.45488514,7.07E-05,0.003401077,5.125872531,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6590,tropical,2.433043794,6.84E-06,1.17E-05,6.654852851,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6591,tropical,3.396294151,1.64E-06,2.34E-05,2.51647832,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6592,tropical,1.589343773,9.37E-08,0.000370315,9.074608454,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6593,tropical,7.422882585,1.29E-05,1.62E-06,5.956413663,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6594,tropical,9.762692127,4.05E-06,3.15E-06,2.405091831,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6595,tropical,8.789146774,2.09E-05,0.000332962,2.102892791,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6596,tropical,8.973088259,3.93E-06,0.00072173,2.107910634,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6597,tropical,5.552744536,8.31E-07,1.17E-07,1.047142794,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6598,tropical,5.10084082,9.56E-07,5.71E-05,3.384043552,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6599,tropical,9.108702428,3.31E-07,0.000182939,9.788228792,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6600,tropical,7.049332903,6.34E-07,0.004553062,1.772186574,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6601,tropical,7.547239281,1.81E-05,0.000283112,2.385385601,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6602,tropical,4.531972719,5.19E-05,1.86E-06,1.475245749,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6603,tropical,3.702601459,3.89E-08,1.14E-05,1.339188734,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6604,tropical,10.92684061,9.98E-06,4.12E-07,10.16089018,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6605,tropical,7.334932644,7.99E-05,4.57E-07,9.402003939,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6606,tropical,3.132081352,7.93E-05,0.000158705,2.788714165,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6607,tropical,2.293723481,2.53E-07,5.40E-06,5.952679451,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6608,tropical,5.781180343,3.77E-07,1.30E-05,4.069585271,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6609,tropical,10.2407447,6.37E-05,0.00497788,3.743769619,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6610,tropical,6.987609671,2.67E-08,8.31E-06,2.282438554,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6611,tropical,10.76170695,5.48E-05,1.39E-06,5.293819133,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6612,tropical,8.317925119,2.42E-07,0.000282744,7.959449637,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6613,tropical,4.567269121,1.36E-06,1.12E-07,4.350607185,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6614,tropical,5.314736906,1.43E-06,0.000269559,8.012464334,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6615,tropical,2.482115607,7.23E-06,0.000908601,9.405349148,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6616,tropical,1.130775755,4.20E-07,3.45E-05,9.826320067,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6617,tropical,8.155660661,4.08E-08,3.47E-06,8.665893501,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6618,tropical,2.031842357,2.30E-07,0.000485357,4.220276276,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6619,tropical,5.462843486,3.21E-06,3.34E-06,1.421170078,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6620,tropical,7.401010451,1.70E-08,0.000747384,9.927099223,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6621,tropical,10.9183862,2.55E-05,3.64E-07,7.381051452,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6622,tropical,5.955935779,7.09E-08,0.000974358,6.544931162,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6623,tropical,5.843495244,1.44E-06,2.85E-05,8.663299481,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6624,tropical,2.734423349,3.52E-08,0.0014608,1.968612945,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6625,tropical,8.548209445,1.99E-07,0.000619606,8.480164876,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6626,tropical,5.538954892,3.05E-06,0.003241401,9.752179877,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6627,tropical,6.111697838,1.06E-07,2.47E-06,1.076685955,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6628,tropical,3.075451133,3.46E-06,1.69E-05,10.34916985,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6629,tropical,3.286581427,8.76E-07,2.29E-06,5.069656581,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6630,tropical,6.957119963,5.66E-05,4.46E-06,8.887633897,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6631,tropical,6.748721983,2.69E-05,0.002079712,10.76127625,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6632,tropical,1.770643803,3.04E-07,3.54E-07,4.334025459,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6633,tropical,1.355405796,1.81E-07,1.03E-05,8.87214821,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6634,tropical,7.427954922,2.06E-05,1.07E-05,1.893609161,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6635,tropical,10.286152,6.42E-07,1.52E-05,1.43699902,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6636,tropical,6.980924224,1.83E-07,7.67E-07,6.149337382,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6637,tropical,6.60900748,2.46E-08,2.13E-06,1.480893275,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6638,tropical,6.260277239,1.82E-08,0.000198495,1.891961276,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6639,tropical,10.85095224,5.73E-06,0.001203033,7.883255215,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6640,tropical,6.076418223,4.70E-06,1.28E-05,1.348385337,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6641,tropical,7.827880787,4.15E-05,6.31E-07,5.309109244,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6642,tropical,7.015412176,1.61E-07,2.77E-06,8.592940512,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6643,tropical,3.388686778,5.39E-05,0.001024814,9.317969546,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6644,tropical,3.581659267,6.43E-08,6.63E-07,4.824625169,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6645,tropical,8.293096234,1.48E-05,0.000889127,7.155548189,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6646,tropical,5.525708314,7.92E-08,4.18E-05,4.449866504,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6647,tropical,2.751267684,1.33E-08,3.98E-06,6.322787741,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6648,tropical,8.466982696,2.81E-05,2.38E-06,3.600091069,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6649,tropical,2.049876404,5.50E-06,0.001022092,6.728606223,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6650,tropical,9.64544949,5.87E-05,3.31E-07,10.05846678,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6651,tropical,7.146449717,5.05E-06,0.001550998,6.660218785,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6652,tropical,6.571595388,2.36E-05,2.49E-07,1.564868178,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6653,tropical,4.287773191,2.80E-07,0.000387097,2.021137454,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6654,tropical,5.531314455,3.71E-07,0.00210421,4.283418559,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6655,tropical,6.004409726,1.87E-06,0.007812518,10.90600507,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6656,tropical,2.808663611,2.40E-08,1.76E-06,8.143653394,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6657,tropical,6.296306028,5.96E-08,1.33E-07,1.789741839,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6658,tropical,1.752757457,2.25E-06,1.30E-06,7.142164494,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6659,tropical,3.777559326,1.01E-05,4.07E-07,5.932336728,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6660,tropical,3.126995192,2.94E-05,8.44E-06,3.690976548,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6661,tropical,3.84790481,3.07E-07,2.64E-07,3.931108628,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6662,tropical,9.950941029,1.57E-05,2.59E-06,5.752783002,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6663,tropical,5.462353233,1.71E-08,6.81E-05,10.64078546,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6664,tropical,8.799848898,3.12E-06,4.39E-06,5.236321021,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6665,tropical,9.806190349,2.67E-07,0.00521643,9.440970958,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6666,tropical,5.131242095,2.25E-06,7.70E-06,10.53827351,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6667,tropical,1.638084805,4.52E-05,0.005842222,3.864735248,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6668,tropical,4.354874917,6.28E-08,2.32E-06,6.408493979,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6669,tropical,8.237259466,2.99E-07,0.000273307,6.813783179,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6670,tropical,4.376153335,4.85E-06,4.84E-07,3.562868944,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6671,tropical,7.304141225,1.18E-05,0.001124744,9.780839683,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6672,tropical,9.40614554,1.23E-06,0.000650165,9.823023876,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6673,tropical,9.561316647,2.05E-05,1.63E-05,10.87334685,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6674,tropical,4.91359281,1.28E-06,1.92E-05,2.016209011,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6675,tropical,4.804938856,1.02E-06,0.000252508,7.187750022,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6676,tropical,9.95445426,4.79E-07,2.35E-07,8.047337699,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6677,tropical,7.443157629,2.81E-07,0.000171059,2.485884308,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6678,tropical,8.410786487,3.12E-08,0.00089037,9.908105916,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6679,tropical,7.053034465,1.56E-07,1.31E-06,2.626703001,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6680,tropical,10.03081611,1.28E-07,1.60E-07,2.218664695,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6681,tropical,3.937301551,1.20E-05,8.38E-06,10.77556857,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6682,tropical,2.912601099,1.30E-05,5.25E-06,7.271102654,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6683,tropical,9.864509433,3.76E-08,1.71E-05,1.1919943,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6684,tropical,6.033394857,1.15E-06,8.59E-06,9.291641446,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6685,tropical,9.77057543,2.45E-06,0.003904717,10.98877475,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6686,tropical,2.891936224,1.06E-06,7.41E-07,9.680955162,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6687,tropical,8.581030524,3.50E-07,5.62E-07,4.969110749,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6688,tropical,8.244988927,5.06E-07,0.000116412,10.36241783,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6689,tropical,10.43724818,1.11E-08,1.22E-07,4.24772896,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6690,tropical,6.47646587,4.76E-05,2.14E-07,10.72447562,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6691,tropical,8.117438677,2.08E-08,0.000783782,6.625984538,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6692,tropical,4.889050998,1.07E-06,0.004767389,6.793290378,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6693,tropical,2.008731262,1.91E-05,1.09E-06,9.246903536,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6694,tropical,10.27302089,2.48E-06,0.000164708,2.984444775,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6695,tropical,3.832325003,4.97E-07,4.54E-06,7.18989635,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6696,tropical,6.905731588,1.73E-06,0.005985604,3.245646149,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6697,tropical,2.103606049,1.43E-05,0.001218837,1.252237301,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6698,tropical,9.405070321,4.69E-08,0.000502783,8.565051247,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6699,tropical,4.179636844,7.62E-05,1.30E-06,7.381569447,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6700,tropical,8.82851337,7.83E-07,1.69E-07,1.57868913,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6701,tropical,3.675082074,5.24E-05,6.80E-06,7.737978132,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6702,tropical,3.186452849,4.02E-05,0.00050929,7.915447707,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6703,tropical,6.167968364,1.01E-05,0.004650838,8.452289597,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
